investor_id,Average_Gap_Days,Total_Transactions,Total_Investment,SIP_Status
INV001248,,1,40902,Active
INV001249,71.6,6,366051,At Risk
INV001250,82.2,6,1382160,At Risk
INV001251,54.25,9,941320,At Risk
INV001252,,1,53866,Active
INV001253,,1,493973,Active
INV001254,108.0,5,991356,At Risk
INV001255,70.8,6,607995,At Risk
INV001256,136.66666666666666,4,183984,At Risk
INV001257,52.44444444444444,10,1348149,At Risk
INV001258,58.0,2,16526,At Risk
INV001259,43.81818181818182,12,1768330,At Risk
INV001260,68.33333333333333,7,588549,At Risk
INV001261,55.5,7,1041091,At Risk
INV001262,50.857142857142854,8,452322,At Risk
INV001263,146.0,3,527595,At Risk
INV001264,44.857142857142854,8,907868,At Risk
INV001265,57.5,7,674769,At Risk
INV001266,393.0,2,543966,At Risk
INV001267,293.0,2,11428,At Risk
INV001268,,1,27614,Active
INV001269,56.44444444444444,10,1775128,At Risk
INV001270,14.5,3,416407,Active
INV001271,107.33333333333333,4,17025,At Risk
INV001272,148.0,2,636978,At Risk
INV001273,110.0,5,465895,At Risk
INV001274,45.36363636363637,12,1095622,At Risk
INV001275,39.0,12,860203,At Risk
INV001276,121.0,4,233524,At Risk
INV001277,420.0,2,26831,At Risk
INV001278,,1,531788,Active
INV001279,120.75,5,101615,At Risk
INV001280,83.6,6,1606014,At Risk
INV001281,88.8,6,474513,At Risk
INV001282,54.857142857142854,8,558050,At Risk
INV001283,,1,33527,Active
INV001284,50.6,11,2165725,At Risk
INV001285,2.0,2,82141,Active
INV001286,20.0,3,61766,Active
INV001287,57.625,9,554160,At Risk
INV001288,39.142857142857146,8,526576,At Risk
INV001289,171.0,3,70123,At Risk
INV001290,294.0,2,5446,At Risk
INV001291,63.5,7,349638,At Risk
INV001292,116.0,2,15584,At Risk
INV001293,,1,416560,Active
INV001294,,1,8375,Active
INV001295,45.111111111111114,10,96957,At Risk
INV001296,349.0,2,101296,At Risk
INV001297,247.0,2,11668,At Risk
INV001298,43.1,11,1031434,At Risk
INV001299,40.36363636363637,12,1052497,At Risk
INV001300,75.0,7,1109365,At Risk
INV001301,81.33333333333333,4,862092,At Risk
INV001302,,1,548,Active
INV001303,209.0,2,638624,At Risk
INV001304,44.36363636363637,12,899956,At Risk
INV001305,42.0,2,14153,At Risk
INV001306,92.0,2,44975,At Risk
INV001307,152.0,3,585556,At Risk
INV001308,41.63636363636363,12,883015,At Risk
INV001309,,1,10544,Active
INV001310,58.0,8,165265,At Risk
INV001311,151.33333333333334,4,96628,At Risk
INV001312,43.7,11,990125,At Risk
INV001313,125.66666666666667,4,489686,At Risk
INV001314,50.44444444444444,10,196028,At Risk
INV001315,48.888888888888886,10,1043647,At Risk
INV001316,51.333333333333336,10,920375,At Risk
INV001317,42.4,11,946676,At Risk
INV001318,41.6,11,214330,At Risk
INV001319,33.57142857142857,8,1195460,Active
INV001320,45.2,11,1702564,At Risk
INV001321,75.83333333333333,7,341346,At Risk
INV001322,80.83333333333333,7,819585,At Risk
INV001323,,1,17888,Active
INV001324,34.0,2,435828,Active
INV001325,82.5,7,1011033,At Risk
INV001326,44.18181818181818,12,612770,At Risk
INV001327,501.0,2,358422,At Risk
INV001328,69.75,5,1035586,At Risk
INV001329,46.888888888888886,10,714494,At Risk
INV001330,77.0,5,483138,At Risk
INV001331,52.77777777777778,10,310811,At Risk
INV001332,60.0,9,295642,At Risk
INV001333,45.54545454545455,12,789220,At Risk
INV001334,50.333333333333336,10,1354227,At Risk
INV001335,209.0,2,526633,At Risk
INV001336,57.625,9,259351,At Risk
INV001337,63.5,5,395450,At Risk
INV001338,165.0,2,420259,At Risk
INV001339,,1,2734,Active
INV001340,205.0,3,284122,At Risk
INV001341,98.5,5,551633,At Risk
INV001342,54.25,9,964237,At Risk
INV001343,56.0,6,686341,At Risk
INV001344,151.5,3,459599,At Risk
INV001345,65.0,8,1391026,At Risk
INV001346,76.5,7,763232,At Risk
INV001347,265.0,2,5374,At Risk
INV001348,40.9,11,1200049,At Risk
INV001349,65.5,3,467672,At Risk
INV001350,71.14285714285714,8,893495,At Risk
INV001351,40.90909090909091,12,1224042,At Risk
INV001352,64.8,6,193086,At Risk
INV001353,57.333333333333336,7,424525,At Risk
INV001354,53.125,9,963214,At Risk
INV001355,40.2,11,1566988,At Risk
INV001356,39.6,11,998538,At Risk
INV001357,40.0,5,509124,At Risk
INV001358,,1,3401,Active
INV001359,54.375,9,526533,At Risk
INV001360,,1,8637,Active
INV001361,37.875,9,791103,At Risk
INV001362,19.666666666666668,4,543937,Active
INV001363,50.666666666666664,7,493071,At Risk
INV001364,126.0,2,545191,At Risk
INV001365,68.66666666666667,4,401179,At Risk
INV001366,54.375,9,671758,At Risk
INV001367,82.5,7,153434,At Risk
INV001368,34.0,3,301863,Active
INV001369,50.625,9,1305360,At Risk
INV001370,81.0,7,503643,At Risk
INV001371,76.0,4,839040,At Risk
INV001372,120.33333333333333,4,236898,At Risk
INV001373,88.0,4,288818,At Risk
INV001374,55.833333333333336,7,1077081,At Risk
INV001375,44.90909090909091,12,929873,At Risk
INV001376,78.66666666666667,7,66059,At Risk
INV001377,65.14285714285714,8,1175557,At Risk
INV001378,79.2,6,1441757,At Risk
INV001379,48.333333333333336,7,1346658,At Risk
INV001380,105.0,2,357230,At Risk
INV001381,,1,91078,Active
INV001382,101.0,4,20674,At Risk
INV001383,44.0,10,883415,At Risk
INV001384,43.55555555555556,10,1646358,At Risk
INV001385,118.25,5,340160,At Risk
INV001386,51.833333333333336,7,987951,At Risk
INV001387,57.25,9,111470,At Risk
INV001388,70.6,6,754939,At Risk
INV001389,87.0,6,1267006,At Risk
INV001390,82.0,6,566837,At Risk
INV001391,68.71428571428571,8,1427142,At Risk
INV001392,52.0,8,1242899,At Risk
INV001393,104.0,3,134275,At Risk
INV001394,55.625,9,298786,At Risk
INV001395,56.0,8,1043484,At Risk
INV001396,100.25,5,914167,At Risk
INV001397,48.1,11,1523232,At Risk
INV001398,45.5,11,1337654,At Risk
INV001399,62.333333333333336,7,413350,At Risk
INV001400,38.4,11,1453464,At Risk
INV001401,38.111111111111114,10,949269,At Risk
INV001402,61.625,9,1624904,At Risk
INV001403,54.0,2,220213,At Risk
INV001404,107.66666666666667,4,458780,At Risk
INV001405,130.33333333333334,4,74645,At Risk
INV001406,39.0,12,584791,At Risk
INV001407,39.55555555555556,10,1024262,At Risk
INV001408,37.0,3,462278,At Risk
INV001409,32.333333333333336,7,1116042,Active
INV001410,61.0,8,606043,At Risk
INV001411,65.14285714285714,8,628481,At Risk
INV001412,70.5,3,309678,At Risk
INV001413,56.0,8,790868,At Risk
INV001414,293.0,2,166095,At Risk
INV001415,53.0,10,579638,At Risk
INV001416,303.0,2,66259,At Risk
INV001417,88.0,5,753778,At Risk
INV001418,57.625,9,1018286,At Risk
INV001419,61.285714285714285,8,287969,At Risk
INV001420,95.75,5,566736,At Risk
INV001421,63.142857142857146,8,711652,At Risk
INV001422,98.75,5,206779,At Risk
INV001423,34.0,11,805166,Active
INV001424,93.0,6,573359,At Risk
INV001425,445.0,2,7051,At Risk
INV001426,,1,5280,Active
INV001427,,1,5328,Active
INV001428,44.18181818181818,12,1098386,At Risk
INV001429,240.0,2,185962,At Risk
INV001430,,1,560,Active
INV001431,60.0,4,343667,At Risk
INV001432,59.5,7,446508,At Risk
INV001433,99.2,6,1003402,At Risk
INV001434,60.375,9,433434,At Risk
INV001435,36.0,2,12503,At Risk
INV001436,95.33333333333333,4,655376,At Risk
INV001437,89.0,4,307368,At Risk
INV001438,,1,7489,Active
INV001439,56.333333333333336,7,1012562,At Risk
INV001440,56.5,5,823731,At Risk
INV001441,60.0,2,5453,At Risk
INV001442,41.54545454545455,12,689389,At Risk
INV001443,57.2,6,974626,At Risk
INV001444,54.0,3,27282,At Risk
INV001445,51.0,5,297715,At Risk
INV001446,84.0,4,751921,At Risk
INV001447,125.66666666666667,4,138470,At Risk
INV001448,47.8,6,780825,At Risk
INV001449,48.5,7,521158,At Risk
INV001450,105.0,4,196863,At Risk
INV001451,,1,26908,Active
INV001452,73.66666666666667,4,233554,At Risk
INV001453,106.66666666666667,4,70693,At Risk
INV001454,62.57142857142857,8,441723,At Risk
INV001455,41.18181818181818,12,743232,At Risk
INV001456,52.375,9,1056586,At Risk
INV001457,38.09090909090909,12,1547775,At Risk
INV001458,32.63636363636363,12,827845,Active
INV001459,116.25,5,1030235,At Risk
INV001460,33.4,11,2189872,Active
INV001461,43.0,2,4821,At Risk
INV001462,55.0,9,1157629,At Risk
INV001463,80.25,5,346839,At Risk
INV001464,,1,2668,Active
INV001465,52.0,7,1223588,At Risk
INV001466,26.7,11,1302126,Active
INV001467,54.333333333333336,10,880295,At Risk
INV001468,93.66666666666667,4,691082,At Risk
INV001469,97.5,3,388458,At Risk
INV001470,72.33333333333333,7,1020695,At Risk
INV001471,,1,428092,Active
INV001472,49.375,9,902384,At Risk
INV001473,81.33333333333333,7,1138426,At Risk
INV001474,202.0,2,311713,At Risk
INV001475,88.33333333333333,4,184367,At Risk
INV001476,101.0,5,329871,At Risk
INV001477,71.0,3,571669,At Risk
INV001478,79.66666666666667,7,420725,At Risk
INV001479,102.0,3,426682,At Risk
INV001480,47.833333333333336,7,750708,At Risk
INV001481,49.833333333333336,7,305859,At Risk
INV001482,57.57142857142857,8,552001,At Risk
INV001483,84.6,6,193272,At Risk
INV001484,87.25,5,1093386,At Risk
INV001485,48.888888888888886,10,176126,At Risk
INV001486,62.0,2,342115,At Risk
INV001487,91.0,3,100742,At Risk
INV001488,79.0,5,503159,At Risk
INV001489,85.5,5,124464,At Risk
INV001490,,1,35777,Active
INV001491,70.57142857142857,8,479735,At Risk
INV001492,77.25,5,979297,At Risk
INV001493,150.0,3,740657,At Risk
INV001494,221.5,3,11931,At Risk
INV001495,16.0,2,82936,Active
INV001496,40.1,11,2539407,At Risk
INV001497,45.81818181818182,12,663731,At Risk
INV001498,68.8,6,1072254,At Risk
INV001499,41.77777777777778,10,2612819,At Risk
INV001500,63.857142857142854,8,1668134,At Risk
INV001501,52.833333333333336,7,1672359,At Risk
INV001502,379.0,2,473868,At Risk
INV001503,44.8,6,529940,At Risk
INV001504,48.22222222222222,10,323372,At Risk
INV001505,148.0,3,102157,At Risk
INV001506,78.16666666666667,7,789025,At Risk
INV001507,39.18181818181818,12,1262282,At Risk
INV001508,55.888888888888886,10,2273825,At Risk
INV001509,,1,1882,Active
INV001510,44.55555555555556,10,935895,At Risk
INV001511,28.0,3,304709,Active
INV001512,47.7,11,1931510,At Risk
INV001513,60.6,6,477668,At Risk
INV001514,38.9,11,870557,At Risk
INV001515,97.25,5,262809,At Risk
INV001516,56.625,9,1094073,At Risk
INV001517,82.0,3,455179,At Risk
INV001518,46.25,9,1325188,At Risk
INV001519,77.0,3,15153,At Risk
INV001520,171.5,3,618129,At Risk
INV001521,47.25,9,1033095,At Risk
INV001522,102.5,3,484106,At Risk
INV001523,,1,283709,Active
INV001524,63.5,7,1023174,At Risk
INV001525,60.833333333333336,7,409031,At Risk
INV001526,29.333333333333332,10,1108874,Active
INV001527,123.0,3,397461,At Risk
INV001528,48.0,11,2546199,At Risk
INV001529,214.0,3,493098,At Risk
INV001530,48.5,9,478137,At Risk
INV001531,85.33333333333333,4,308636,At Risk
INV001532,47.4,11,981795,At Risk
INV001533,168.0,2,1017085,At Risk
INV001534,64.42857142857143,8,1096274,At Risk
INV001535,150.66666666666666,4,481793,At Risk
INV001536,41.4,11,768514,At Risk
INV001537,99.0,5,438883,At Risk
INV001538,65.5,7,403950,At Risk
INV001539,237.0,3,255554,At Risk
INV001540,138.33333333333334,4,55777,At Risk
INV001541,,1,298338,Active
INV001542,63.0,5,30942,At Risk
INV001543,56.2,6,1412216,At Risk
INV001544,42.6,11,1459767,At Risk
INV001545,46.4,11,1173126,At Risk
INV001546,351.0,2,636851,At Risk
INV001547,43.81818181818182,12,1475443,At Risk
INV001548,57.57142857142857,8,768100,At Risk
INV001549,50.125,9,814085,At Risk
INV001550,47.4,11,1019018,At Risk
INV001551,55.875,9,838742,At Risk
INV001552,45.0,2,131269,At Risk
INV001553,44.90909090909091,12,1951832,At Risk
INV001554,5.0,2,58886,Active
INV001555,91.0,6,1447897,At Risk
INV001556,77.33333333333333,4,628970,At Risk
INV001557,80.33333333333333,7,834356,At Risk
INV001558,38.7,11,1419654,At Risk
INV001559,,1,249630,Active
INV001560,98.2,6,777593,At Risk
INV001561,55.857142857142854,8,1386518,At Risk
INV001562,39.8,11,294505,At Risk
INV001563,194.0,2,144851,At Risk
INV001564,39.18181818181818,12,1089883,At Risk
INV001565,126.0,3,355584,At Risk
INV001566,102.66666666666667,4,333707,At Risk
INV001567,50.2,6,299281,At Risk
INV001568,,1,10735,Active
INV001569,69.5,7,594971,At Risk
INV001570,59.875,9,1806980,At Risk
INV001571,87.0,3,510419,At Risk
INV001572,,1,2256,Active
INV001573,42.142857142857146,8,1046465,At Risk
INV001574,42.666666666666664,7,561459,At Risk
INV001575,52.625,9,1203832,At Risk
INV001576,75.33333333333333,7,618966,At Risk
INV001577,,1,837,Active
INV001578,76.5,3,281351,At Risk
INV001579,41.63636363636363,12,1454466,At Risk
INV001580,40.63636363636363,12,885928,At Risk
INV001581,101.75,5,719501,At Risk
INV001582,,1,920,Active
INV001583,56.125,9,1688452,At Risk
INV001584,84.0,5,365117,At Risk
INV001585,35.375,9,1033231,At Risk
INV001586,89.33333333333333,4,14770,At Risk
INV001587,40.1,11,1338541,At Risk
INV001588,69.5,7,709591,At Risk
INV001589,,1,24681,Active
INV001590,126.5,3,258144,At Risk
INV001591,32.0,11,2052414,Active
INV001592,19.0,6,783972,Active
INV001593,159.5,3,520240,At Risk
INV001594,76.83333333333333,7,1041554,At Risk
INV001595,69.33333333333333,7,628320,At Risk
INV001596,76.4,6,1144285,At Risk
INV001597,43.4,11,1564797,At Risk
INV001598,50.5,9,948581,At Risk
INV001599,44.54545454545455,12,1215923,At Risk
INV001600,152.0,4,362379,At Risk
INV001601,96.0,3,373239,At Risk
INV001602,42.63636363636363,12,1683273,At Risk
INV001603,33.3,11,1249506,Active
INV001604,62.0,3,448574,At Risk
INV001605,49.9,11,907214,At Risk
INV001606,58.0,8,149272,At Risk
INV001607,231.0,3,369723,At Risk
INV001608,36.0,11,1408628,At Risk
INV001609,52.77777777777778,10,1828827,At Risk
INV001610,,1,394911,Active
INV001611,42.7,11,1885318,At Risk
INV001612,50.22222222222222,10,1039562,At Risk
INV001613,90.0,2,103124,At Risk
INV001614,54.0,4,299454,At Risk
INV001615,44.0,8,1439722,At Risk
INV001616,38.54545454545455,12,688035,At Risk
INV001617,11.0,2,84675,Active
INV001618,59.714285714285715,8,704843,At Risk
INV001619,70.0,6,784498,At Risk
INV001620,43.0,7,906445,At Risk
INV001621,167.0,3,39202,At Risk
INV001622,196.0,2,32767,At Risk
INV001623,46.9,11,1305289,At Risk
INV001624,34.0,12,1159821,Active
INV001625,39.63636363636363,12,2006664,At Risk
INV001626,81.33333333333333,4,429844,At Risk
INV001627,70.8,6,509047,At Risk
INV001628,32.90909090909091,12,1293876,Active
INV001629,44.36363636363637,12,571840,At Risk
INV001630,39.75,5,225860,At Risk
INV001631,45.6,11,581721,At Risk
INV001632,87.0,2,309423,At Risk
INV001633,,1,475,Active
INV001634,30.5,3,323070,Active
INV001635,73.0,7,1295057,At Risk
INV001636,39.1,11,659303,At Risk
INV001637,90.4,6,1258105,At Risk
INV001638,65.0,4,308357,At Risk
INV001639,69.4,6,451834,At Risk
INV001640,28.0,12,1460059,Active
INV001641,54.55555555555556,10,1137585,At Risk
INV001642,97.25,5,760223,At Risk
INV001643,49.285714285714285,8,677728,At Risk
INV001644,41.0,11,1090844,At Risk
INV001645,54.285714285714285,8,466615,At Risk
INV001646,102.66666666666667,4,361360,At Risk
INV001647,,1,358120,Active
INV001648,58.625,9,1479962,At Risk
INV001649,42.27272727272727,12,621280,At Risk
INV001650,49.2,6,713748,At Risk
INV001651,47.2,11,790979,At Risk
INV001652,46.75,9,1279109,At Risk
INV001653,55.142857142857146,8,353745,At Risk
INV001654,38.22222222222222,10,729940,At Risk
INV001655,79.75,5,233699,At Risk
INV001656,51.333333333333336,10,451086,At Risk
INV001657,,1,31500,Active
INV001658,42.2,11,1839068,At Risk
INV001659,41.0,2,36217,At Risk
INV001660,78.8,6,390673,At Risk
INV001661,97.75,5,436958,At Risk
INV001662,41.36363636363637,12,1937573,At Risk
INV001663,46.57142857142857,8,664153,At Risk
INV001664,349.0,2,257587,At Risk
INV001665,116.5,3,6533,At Risk
INV001666,58.2,6,758715,At Risk
INV001667,,1,8839,Active
INV001668,181.0,3,695778,At Risk
INV001669,68.0,4,245061,At Risk
INV001670,36.5,11,1928820,At Risk
INV001671,62.0,7,1225017,At Risk
INV001672,24.727272727272727,12,821755,Active
INV001673,49.3,11,81749,At Risk
INV001674,76.8,6,569524,At Risk
INV001675,,1,59489,Active
INV001676,118.0,5,849132,At Risk
INV001677,95.0,5,1196636,At Risk
INV001678,61.0,3,684233,At Risk
INV001679,76.5,7,447785,At Risk
INV001680,42.81818181818182,12,1174873,At Risk
INV001681,180.5,3,177271,At Risk
INV001682,,1,936,Active
INV001683,62.142857142857146,8,138711,At Risk
INV001684,153.0,3,45978,At Risk
INV001685,44.0,2,3921,At Risk
INV001686,248.0,2,283725,At Risk
INV001687,70.75,5,210079,At Risk
INV001688,90.5,5,222003,At Risk
INV001689,45.54545454545455,12,1413571,At Risk
INV001690,60.875,9,994133,At Risk
INV001691,57.75,9,1151668,At Risk
INV001692,44.1,11,2751086,At Risk
INV001693,104.0,4,75578,At Risk
INV001694,51.44444444444444,10,773611,At Risk
INV001695,21.375,9,1171841,Active
INV001696,87.8,6,306879,At Risk
INV001697,45.45454545454545,12,1278552,At Risk
INV001698,,1,10016,Active
INV001699,59.42857142857143,8,438246,At Risk
INV001700,,1,556,Active
INV001701,45.72727272727273,12,1530504,At Risk
INV001702,199.0,2,354071,At Risk
INV001703,,1,2959,Active
INV001704,,1,336309,Active
INV001705,47.625,9,1734773,At Risk
INV001706,43.22222222222222,10,1230659,At Risk
INV001707,104.66666666666667,4,69622,At Risk
INV001708,85.5,5,570438,At Risk
INV001709,37.0,8,510448,At Risk
INV001710,115.0,3,243131,At Risk
INV001711,65.83333333333333,7,26390,At Risk
INV001712,47.57142857142857,8,446860,At Risk
INV001713,45.857142857142854,8,1133717,At Risk
INV001714,133.0,3,41699,At Risk
INV001715,68.28571428571429,8,103613,At Risk
INV001716,75.66666666666667,4,27465,At Risk
INV001717,93.0,5,1267371,At Risk
INV001718,52.5,9,795041,At Risk
INV001719,55.0,5,775208,At Risk
INV001720,68.42857142857143,8,804607,At Risk
INV001721,81.66666666666667,7,1137944,At Risk
INV001722,109.25,5,977129,At Risk
INV001723,83.66666666666667,7,1263638,At Risk
INV001724,52.25,9,862419,At Risk
INV001725,44.6,11,980277,At Risk
INV001726,108.33333333333333,4,792709,At Risk
INV001727,78.5,5,536416,At Risk
INV001728,35.4,11,938502,At Risk
INV001729,76.75,5,409265,At Risk
INV001730,17.0,2,25174,Active
INV001731,310.0,2,3122,At Risk
INV001732,92.2,6,221591,At Risk
INV001733,207.0,2,69927,At Risk
INV001734,112.0,5,441830,At Risk
INV001735,79.0,7,842756,At Risk
INV001736,65.0,7,975076,At Risk
INV001737,42.625,9,491962,At Risk
INV001738,40.09090909090909,12,845576,At Risk
INV001739,46.666666666666664,10,596476,At Risk
INV001740,48.77777777777778,10,1046752,At Risk
INV001741,45.2,11,1534845,At Risk
INV001742,52.375,9,1194805,At Risk
INV001743,44.0,7,1391835,At Risk
INV001744,42.81818181818182,12,1364057,At Risk
INV001745,159.66666666666666,4,320584,At Risk
INV001746,32.09090909090909,12,1766212,Active
INV001747,68.85714285714286,8,1426431,At Risk
INV001748,39.142857142857146,8,985018,At Risk
INV001749,,1,45901,Active
INV001750,180.5,3,287641,At Risk
INV001751,39.142857142857146,8,992622,At Risk
INV001752,37.81818181818182,12,1388370,At Risk
INV001753,42.81818181818182,12,591142,At Risk
INV001754,139.66666666666666,4,495504,At Risk
INV001755,206.0,2,672833,At Risk
INV001756,,1,511289,Active
INV001757,35.36363636363637,12,694422,At Risk
INV001758,36.22222222222222,10,1890625,At Risk
INV001759,40.54545454545455,12,721052,At Risk
INV001760,163.0,3,21348,At Risk
INV001761,,1,2073,Active
INV001762,47.57142857142857,8,1139097,At Risk
INV001763,59.666666666666664,7,692791,At Risk
INV001764,73.75,5,202400,At Risk
INV001765,67.57142857142857,8,1071646,At Risk
INV001766,93.5,3,157049,At Risk
INV001767,,1,349026,Active
INV001768,14.666666666666666,4,323349,Active
INV001769,70.0,8,677998,At Risk
INV001770,71.14285714285714,8,564230,At Risk
INV001771,64.14285714285714,8,2695710,At Risk
INV001772,52.77777777777778,10,1276824,At Risk
INV001773,53.75,5,43212,At Risk
INV001774,92.0,4,356376,At Risk
INV001775,29.142857142857142,8,92864,Active
INV001776,56.0,2,227378,At Risk
INV001777,46.1,11,686554,At Risk
INV001778,40.45454545454545,12,1401085,At Risk
INV001779,170.0,2,508326,At Risk
INV001780,54.8,6,1029694,At Risk
INV001781,99.33333333333333,4,185310,At Risk
INV001782,52.0,10,1174960,At Risk
INV001783,58.875,9,1804984,At Risk
INV001784,39.8,11,1633706,At Risk
INV001785,202.0,3,60168,At Risk
INV001786,,1,552,Active
INV001787,60.0,6,754935,At Risk
INV001788,56.0,5,448400,At Risk
INV001789,51.25,5,778911,At Risk
INV001790,44.55555555555556,10,1503115,At Risk
INV001791,76.75,5,578366,At Risk
INV001792,58.4,6,369407,At Risk
INV001793,409.0,2,109211,At Risk
INV001794,45.625,9,1067068,At Risk
INV001795,98.25,5,417952,At Risk
INV001796,73.5,7,1174793,At Risk
INV001797,47.8,11,1187966,At Risk
INV001798,54.0,6,464928,At Risk
INV001799,73.16666666666667,7,745646,At Risk
INV001800,42.0,11,1343076,At Risk
INV001801,68.6,6,126145,At Risk
INV001802,49.0,10,1327369,At Risk
INV001803,36.875,9,463753,At Risk
INV001804,42.9,11,1300753,At Risk
INV001805,62.2,6,488850,At Risk
INV001806,47.7,11,1024402,At Risk
INV001807,164.0,2,589082,At Risk
INV001808,306.0,2,209897,At Risk
INV001809,79.66666666666667,7,102667,At Risk
INV001810,45.3,11,1647041,At Risk
INV001811,44.81818181818182,12,700436,At Risk
INV001812,,1,300792,Active
INV001813,63.0,8,1109781,At Risk
INV001814,44.888888888888886,10,1305482,At Risk
INV001815,60.333333333333336,7,430207,At Risk
INV001816,41.5,11,1351269,At Risk
INV001817,236.0,2,470229,At Risk
INV001818,193.5,3,760835,At Risk
INV001819,189.0,2,7448,At Risk
INV001820,40.5,11,1140445,At Risk
INV001821,111.33333333333333,4,353083,At Risk
INV001822,23.285714285714285,8,600988,Active
INV001823,37.0,12,1611892,At Risk
INV001824,91.2,6,1046917,At Risk
INV001825,46.55555555555556,10,2150054,At Risk
INV001826,33.125,9,1023836,Active
INV001827,95.0,6,197811,At Risk
INV001828,44.42857142857143,8,57282,At Risk
INV001829,67.5,7,969442,At Risk
INV001830,99.0,3,13921,At Risk
INV001831,45.5,9,1403227,At Risk
INV001832,60.0,8,1232196,At Risk
INV001833,41.833333333333336,7,821120,At Risk
INV001834,62.0,7,591243,At Risk
INV001835,78.0,6,163031,At Risk
INV001836,37.2,11,1024529,At Risk
INV001837,42.27272727272727,12,1229457,At Risk
INV001838,200.0,2,176581,At Risk
INV001839,105.5,5,454177,At Risk
INV001840,117.0,2,549846,At Risk
INV001841,35.125,9,456715,At Risk
INV001842,47.44444444444444,10,1865959,At Risk
INV001843,50.625,9,2482179,At Risk
INV001844,51.625,9,1388959,At Risk
INV001845,108.75,5,406600,At Risk
INV001846,101.5,5,757427,At Risk
INV001847,54.75,5,501053,At Risk
INV001848,60.125,9,1176316,At Risk
INV001849,84.8,6,620719,At Risk
INV001850,125.0,4,701299,At Risk
INV001851,56.142857142857146,8,797224,At Risk
INV001852,71.71428571428571,8,1250437,At Risk
INV001853,30.181818181818183,12,992816,Active
INV001854,172.0,3,714573,At Risk
INV001855,159.0,2,12739,At Risk
INV001856,53.57142857142857,8,1082328,At Risk
INV001857,45.1,11,2116893,At Risk
INV001858,47.3,11,1314090,At Risk
INV001859,82.5,7,1011714,At Risk
INV001860,164.66666666666666,4,409489,At Risk
INV001861,39.77777777777778,10,1572816,At Risk
INV001862,191.5,3,619479,At Risk
INV001863,167.33333333333334,4,462836,At Risk
INV001864,,1,272966,Active
INV001865,47.625,9,558501,At Risk
INV001866,46.142857142857146,8,574628,At Risk
INV001867,89.6,6,640066,At Risk
INV001868,91.6,6,367861,At Risk
INV001869,122.0,4,718018,At Risk
INV001870,65.14285714285714,8,505122,At Risk
INV001871,42.63636363636363,12,1365922,At Risk
INV001872,152.0,3,9784,At Risk
INV001873,68.5,3,53455,At Risk
INV001874,52.333333333333336,10,1897614,At Risk
INV001875,73.0,7,792853,At Risk
INV001876,86.0,5,824139,At Risk
INV001877,54.833333333333336,7,659810,At Risk
INV001878,90.0,5,504467,At Risk
INV001879,58.5,9,425995,At Risk
INV001880,49.125,9,1214621,At Risk
INV001881,74.6,6,506456,At Risk
INV001882,105.0,5,873846,At Risk
INV001883,70.85714285714286,8,421206,At Risk
INV001884,,1,27771,Active
INV001885,45.09090909090909,12,717493,At Risk
INV001886,45.111111111111114,10,152542,At Risk
INV001887,78.0,7,1290164,At Risk
INV001888,65.42857142857143,8,1079633,At Risk
INV001889,,1,86387,Active
INV001890,85.5,7,513274,At Risk
INV001891,60.25,9,883459,At Risk
INV001892,174.5,3,50039,At Risk
INV001893,54.6,6,508391,At Risk
INV001894,42.0,4,684661,At Risk
INV001895,61.57142857142857,8,1247954,At Risk
INV001896,47.0,6,519066,At Risk
INV001897,52.833333333333336,7,732896,At Risk
INV001898,,1,278930,Active
INV001899,69.28571428571429,8,564020,At Risk
INV001900,75.0,5,25240,At Risk
INV001901,162.5,3,287388,At Risk
INV001902,92.0,4,534146,At Risk
INV001903,38.22222222222222,10,1689254,At Risk
INV001904,305.0,2,100684,At Risk
INV001905,109.0,5,340294,At Risk
INV001906,97.0,3,87034,At Risk
INV001907,,1,264776,Active
INV001908,69.0,5,1256813,At Risk
INV001909,48.333333333333336,10,925557,At Risk
INV001910,101.25,5,1350619,At Risk
INV001911,30.0,4,327561,Active
INV001912,45.4,11,1401364,At Risk
INV001913,64.6,6,735103,At Risk
INV001914,42.22222222222222,10,1174262,At Risk
INV001915,228.0,2,6864,At Risk
INV001916,45.888888888888886,10,1728270,At Risk
INV001917,40.42857142857143,8,1544588,At Risk
INV001918,185.0,2,495325,At Risk
INV001919,132.0,2,468320,At Risk
INV001920,30.0,11,1386418,Active
INV001921,43.63636363636363,12,756798,At Risk
INV001922,68.66666666666667,7,271309,At Risk
INV001923,44.0,12,1303739,At Risk
INV001924,60.875,9,499609,At Risk
INV001925,,1,48046,Active
INV001926,46.4,11,1068830,At Risk
INV001927,42.25,9,1075729,At Risk
INV001928,83.8,6,776641,At Risk
INV001929,45.111111111111114,10,876400,At Risk
INV001930,97.0,6,458380,At Risk
INV001931,,1,3236,Active
INV001932,249.0,2,6214,At Risk
INV001933,61.714285714285715,8,720963,At Risk
INV001934,162.0,3,297579,At Risk
INV001935,,1,9362,Active
INV001936,16.5,3,312352,Active
INV001937,48.3,11,789325,At Risk
INV001938,32.90909090909091,12,886888,Active
INV001939,63.0,2,405044,At Risk
INV001940,56.142857142857146,8,922711,At Risk
INV001941,268.0,2,260155,At Risk
INV001942,140.0,3,894822,At Risk
INV001943,62.0,7,596108,At Risk
INV001944,45.22222222222222,10,1084537,At Risk
INV001945,46.57142857142857,8,1263474,At Risk
